UserID,ISBN,Rating
1,1735784129,1
1,5451908535,8
1,3038456929,9
1,3900420095,1
1,8770032514,3
1,2124585642,7
1,5340384615,1
1,5980905486,5
1,3421384841,8
1,2333322675,4
1,5468581476,6
1,7809644400,2
1,7714068452,2
2,3620443783,3
2,3683700555,9
2,3793350919,8
2,9959983956,3
2,8979542380,1
2,9036572985,6
3,9431072621,3
3,9293963706,1
3,9632527244,3
3,3042760296,10
3,5774474662,10
3,7176955085,1
4,6313978351,3
4,3927607676,2
4,4762783180,4
4,8483233124,1
4,6838624715,10
4,1187035288,10
4,4662298076,1
4,6551769147,2
4,8321342371,8
4,4380704075,4
4,8574202099,6
4,4252659227,7
4,8322859165,5
4,3361366002,8
4,1399960500,3
4,8348409193,3
4,6901234565,4
4,4581581316,5
4,1499104944,5
4,5865481955,3
4,7249956135,8
4,1869484037,7
4,8253220880,6
4,9683370392,8
4,6627613512,8
4,2149392364,6
4,5246076699,5
4,4278565658,4
4,8451030667,9
4,9636865680,5
4,1147141536,8
4,8323554620,7
4,6123538526,10
4,3242066404,9
4,8360076912,9
4,8371305941,10
4,1309994501,7
4,4931324988,5
4,7238909831,6
4,5105319885,8
4,5887422577,5
4,3130351432,7
4,6552634905,5
5,5150695522,7
5,1817140146,5
5,2042586165,8
5,5014440037,10
5,3873333179,2
5,1415608837,9
5,3761445022,7
5,3726879419,5
5,9352190549,10
5,3593666746,9
5,1610902328,6
5,1930637502,2
5,2795665965,3
5,7000815678,8
5,8616953853,10
5,9764128475,9
5,4207335795,9
5,6732265606,3
5,2285735360,4
5,5502322105,4
5,6451995778,1
5,9249292296,6
5,5031084320,7
5,9820433561,9
5,8407056374,8
5,9421886344,1
5,3983007228,10
5,5241589119,9
5,3268843841,3
5,6336627780,1
5,6583752120,5
5,3540923273,4
5,5918104350,2
5,8994365439,3
5,6638170925,9
6,1816854406,2
6,2082909135,7
6,5333101480,7
6,6165628805,6
6,2945439822,3
6,2803173309,4
6,5948318224,3
6,3268030771,8
6,1322002191,5
6,7370954739,4
6,2534965938,2
6,4716340494,1
6,1520198797,10
6,2937969713,6
6,5482937477,2
6,1332001614,9
6,1957075308,3
6,6818027430,1
6,8855771750,9
6,8153236598,4
6,6490335849,8
6,3952019973,2
6,1817140146,3
6,9259763567,9
6,9575464768,8
6,1553540157,2
6,3530920608,7
6,3458651893,3
6,7977045204,8
6,4500005834,5
6,8317515915,1
6,3725663625,5
6,6025363491,4
